,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi-Major_Axis(AU),Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi-Major_Axis_km,Semi-Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii
28,29,55 Cnc,55 Cnc e,5,0.736539,0.01544,0.17,12.53,5196,0.91,4.8,G8 V,2309824,2309824000,1.81E+30,228618.5995,22.86185995,23.09824,12153.64,1.90765029
64,65,CoRoT-10,CoRoT-10 b,1,13.2406,0.1055,0.97,345,5075,0.89,5.1,K1 V,15782800,15782800000,1.77E+30,86493.46293,8.649346293,157.828,69347.24,10.88482813
65,66,CoRoT-11,CoRoT-11 b,1,2.99433,0.0436,1.43,560,6440,1.27,3.6,F6 V,6522560,6522560000,2.53E+30,160721.1857,16.07211857,65.2256,102233.56,16.04670538
67,68,CoRoT-13,CoRoT-13 b,1,4.03519,0.051,0.885,1060,5945,1.09,4,G0 V,7629600,7629600000,2.17E+30,137671.0652,13.76710652,76.296,63270.42,9.931002982
68,69,CoRoT-14,CoRoT-14 b,1,1.51214,0.027,1.09,1340,6035,1.13,3.9,F9 V,4039200,4039200000,2.25E+30,192651.259,19.2651259,40.392,77926.28,12.2314048
69,70,CoRoT-16,CoRoT-16 b,1,5.35227,0.0618,1.17,840,5650,1.1,4.5,G5 V,9245280,9245280000,2.19E+30,125636.7278,12.56367278,92.4528,83645.64,13.12912259
70,71,CoRoT-17,CoRoT-17 b,1,3.7681,0.0461,1.02,920,5740,1.04,4.2,G2 V,6896560,6896560000,2.07E+30,141442.7589,14.14427589,68.9656,72921.84,11.44590174
71,72,CoRoT-18,CoRoT-18 b,1,1.9000693,0.0295,1.31,870,5440,0.95,4.9,G9 V,4413200,4413200000,1.89E+30,168991.6734,16.89916734,44.132,93654.52,14.70012871
72,73,CoRoT-19,CoRoT-19 b,1,3.89713,0.0518,1.29,770,6090,1.21,3.9,F9 V,7749280,7749280000,2.41E+30,143927.0146,14.39270146,77.4928,92224.68,14.47569926
76,77,CoRoT-22,CoRoT-22 b,1,9.75598,0.092,0.435,592,5939,1.1,4.3,G3 V,13763200,13763200000,2.19E+30,102971.4766,10.29714766,137.632,31099.02,4.881340449
77,78,CoRoT-23,CoRoT-23 b,1,3.6313,0.048,1.05,600,5900,1.14,4,G0 V,7180800,7180800000,2.27E+30,145126.3654,14.51263654,71.808,75066.6,11.78254591
78,79,CoRoT-24,CoRoT-24 b,2,5.1134,0.056,0.33,600,4950,0.91,5.1,K1 V,8377600,8377600000,1.81E+30,120044.2035,12.00442035,83.776,23592.36,3.703085858
