,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi_Major_Axis_km,Semi_Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii,Distance_to_Star_ly,minimum_Travel_Time_yr
28,29,55 Cnc,55 Cnc e,5,0.736539,0.01544,0.17,12.53,5196.0,0.91,4.8,G8 V,2309824.0,2309824000.0,1.80999e+30,228618.5994729315,22.86185994729315,23.09824,12153.640000000001,1.9076502903782768,40.84779999999999,3995522.0394125353
64,65,CoRoT-10,CoRoT-10 b,1,13.2406,0.1055,0.97,345.0,5075.0,0.89,5.1,K1 V,15782800.0,15782800000.0,1.77021e+30,86493.46293035954,8.649346293035954,157.828,69347.24,10.88482812745252,1124.6999999999998,110012378.5791959
65,66,CoRoT-11,CoRoT-11 b,1,2.9943299999999997,0.0436,1.43,560.0,6440.0,1.27,3.6,F6 V,6522560.0,6522560000.0,2.52603e+30,160721.1856614855,16.07211856614855,65.2256,102233.56,16.04670538377021,1825.6,178570817.40391222
67,68,CoRoT-13,CoRoT-13 b,1,4.03519,0.051,0.885,1060.0,5945.0,1.09,4.0,G0 V,7629599.999999999,7629599999.999999,2.16801e+30,137671.06519713346,13.767106519713346,76.29599999999999,63270.42,9.931002982263381,3455.6,338009047.22883385
68,69,CoRoT-14,CoRoT-14 b,1,1.51214,0.027000000000000003,1.09,1340.0,6035.0,1.13,3.9,F9 V,4039200.0000000005,4039200000.0000005,2.2475699999999998e+30,192651.25895191435,19.265125895191435,40.392,77926.28,12.231404803013655,4368.4,427294455.93078995
69,70,CoRoT-16,CoRoT-16 b,1,5.35227,0.0618,1.17,840.0,5650.0,1.1,4.5,G5 V,9245280.0,9245280000.0,2.1879e+30,125636.72782526922,12.563672782526922,92.4528,83645.64,13.12912258672108,2738.3999999999996,267856226.10586828
70,71,CoRoT-17,CoRoT-17 b,1,3.7681,0.0461,1.02,920.0,5740.0,1.04,4.2,G2 V,6896560.0,6896560000.0,2.06856e+30,141442.75885578294,14.144275885578294,68.9656,72921.84,11.445901742269658,2999.2,293366342.8778558
71,72,CoRoT-18,CoRoT-18 b,1,1.9000693,0.0295,1.31,870.0,5440.0,0.95,4.9,G9 V,4413200.0,4413200000.0,1.8895499999999999e+30,168991.67337553037,16.89916733755304,44.132,93654.52,14.700128708209073,2836.2,277422519.8953636
72,73,CoRoT-19,CoRoT-19 b,1,3.89713,0.0518,1.29,770.0,6090.0,1.21,3.9,F9 V,7749280.0,7749280000.0,2.4066899999999998e+30,143927.01456375563,14.392701456375562,77.4928,92224.68000000001,14.475699262282218,2510.2,245534873.93037933
76,77,CoRoT-22,CoRoT-22 b,1,9.755980000000001,0.092,0.435,592.0,5939.0,1.1,4.3,G3 V,13763200.0,13763200000.0,2.1879e+30,102971.47663309486,10.297147663309486,137.632,31099.02,4.8813404489091194,1929.9199999999998,188774864.11270723
