Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr
1,11 Com,11 Com b,1,326.03,1.29,,110.62,4742,2.7,5,K0 III
2,11 UMi,11 UMi b,1,516.21997,1.53,,119.47,4213,2.78,5.4,K4 III
3,14 And,14 And b,1,185.84,0.83,,76.39,4813,2.2,4.8,G8 III
4,14 Her,14 Her b,1,1773.40002,2.93,,18.15,5338,0.9,5,K0 V
5,16 Cyg B,16 Cyg B b,1,798.5,1.66,,21.41,5750,1.08,4.25,G2.5 V
6,18 Del,18 Del b,1,993.3,2.6,,73.1,4979,2.3,4.6,G6 III
7,1RXS J160929.1-210524,1RXS J160929.1-210524 b,1,,330,,145,4060,0.85,5.7,K7 V
8,24 Boo,24 Boo b,1,30.3506,0.19,,97.75,4893,0.99,4.3,G3 IV
9,24 Sex,24 Sex b,2,452.8,1.333,,74.79,5098,1.54,5,K0 IV
10,24 Sex,24 Sex c,2,883,2.08,,74.79,5098,1.54,5,K0 IV
11,2MASS J01225093-2439505,2MASS J01225093-2439505 b,1,,52,,36,3530,0.4,6.35,M3.5 V
12,2MASS J02192210-3925225,2MASS J02192210-3925225 b,1,,156,1.44,39.4,3064,0.11,6.6,M6
13,2MASS J04414489+2301513,2MASS J04414489+2301513 b,1,,15,,140,,0.02,6.85,M8.5
14,2MASS J12073346-3932539,2MASS J12073346-3932539 b,1,,46,,52.4,,0.02,6.8,M8
15,2MASS J19383260+4603591,2MASS J19383260+4603591 b,1,416,0.92,,,,0.48,,
16,2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,1,7336.5,,0.92,25,2300,0.08,6.85,M8.5
17,2MASS J22362452+4751425,2MASS J22362452+4751425 b,1,,230,,74,4045,0.6,5.7,K7 V
18,30 Ari B,30 Ari B b,1,335.10001,0.99,,39.43,6331,1.93,3.6,F6 V
19,4 UMa,4 UMa b,1,269.3,0.87,,77.4,4415,1.23,5.1,K1 III
20,42 Dra,42 Dra b,1,479.1,1.19,,97.28,4200,0.98,5.15,K1.5 III
21,47 UMa,47 UMa b,3,1078,2.1,,14.08,5892,1.03,4,G0 V
22,47 UMa,47 UMa c,3,2391,3.6,,14.08,5892,1.03,4,G0 V
23,47 UMa,47 UMa d,3,14002,11.6,,14.08,5892,1.03,4,G0 V
24,51 Eri,51 Eri b,1,,13.2,,29.4,,1.75,3,F0 IV
25,51 Peg,51 Peg b,1,4.230785,0.0527,,15.36,5793,1.12,4.25,G2.5 IV
26,55 Cnc,55 Cnc b,5,14.65152,0.115227,,12.53,5196,0.91,4.8,G8 V
27,55 Cnc,55 Cnc c,5,44.4175,0.241376,,12.53,5196,0.91,4.8,G8 V
28,55 Cnc,55 Cnc d,5,4825,5.503,,12.53,5196,0.91,4.8,G8 V
29,55 Cnc,55 Cnc e,5,0.736539,0.01544,0.17,12.53,5196,0.91,4.8,G8 V
30,55 Cnc,55 Cnc f,5,262,0.788,,12.53,5196,0.91,4.8,G8 V
31,6 Lyn,6 Lyn b,1,874.774,2.18,,56.95,4978,1.7,5,K0 III-IV
32,61 Vir,61 Vir b,3,4.215,0.050201,,8.52,5577,0.94,4.5,G5 V
33,61 Vir,61 Vir c,3,38.021,0.2175,,8.52,5577,0.94,4.5,G5 V
34,61 Vir,61 Vir d,3,123.01,0.476,,8.52,5577,0.94,4.5,G5 V
35,7 CMa,7 CMa b,1,796,1.93,,19.84,4792,1.52,5.1,K1 III
36,70 Vir,70 Vir b,1,116.6884,0.48,,18.11,5531,1.14,4.4,G4 V
37,75 Cet,75 Cet b,1,691.9,2.1,,81.5,4846,2.49,4.3,G3 III
38,8 UMi,8 UMi b,1,93.4,0.49,,159.1,4847,1.44,5,K0
39,81 Cet,81 Cet b,1,952.7,2.5,,97.18,4785,2.4,4.5,G5 III
40,91 Aqr,91 Aqr b,1,181.4,0.7,,45.52,4665,1.4,5,K0 III
41,AB Pic,AB Pic b,1,,260,,45.52,,,5.2,K2 V
42,BD+03 2562,BD+03 2562 b,1,481.9,1.3,,2618,4095,1.14,,
43,BD+14 4559,BD+14 4559 b,1,268.94,0.78,,50.03,4864,0.49,5.2,K2 V
44,BD+15 2375,BD+15 2375 b,1,153.22,0.576,,774,4649,1.08,,
45,BD+15 2940,BD+15 2940 b,1,137.48,0.539,,175.44,4796,1.1,5,K0
46,BD+20 2457,BD+20 2457 b,2,379.63,1.05,,200,4259,10.83,5.2,K2 II
47,BD+20 2457,BD+20 2457 c,2,621.99,2.01,,200,4259,10.83,5.2,K2 II
